Number	Genename	Locus	Count	Xenbase_ID
gene22977	Xelaev18046792m	chr9_10S		
gene22978	Xelaev18017098m	chr3L		
gene22979	Xelaev18026539m	chr5L		
gene22980	Xelaev18016935m	chr3L		
gene22981	Xelaev18021805m	chr4L		
gene22982	Xetrov90019685m.1	Scaffold945		
gene22983	Xelaev18002161m	Scaffold28253		
gene22984	Xelaev18004838m	chr1L		
gene22985	Xelaev18014745m	chr2S		
gene22986	Xelaev18043493m	chr9_10L		
gene22987	Xelaev18010952m	chr1S		
gene22988	Xelaev18029532m	chr5S		
gene22989	Xelaev18009234m	chr1S		
gene22990	Xelaev18040947m	chr8L		
gene22991	Xelaev18004113m	Scaffold695		
gene22992	Xelaev18036796m	chr7S		
gene22993	Xelaev18012972m	chr2L		
gene22994	Xelaev18033310m	chr6S		
gene22995	Xelaev18016755m	chr3L		
gene22996	Xelaev18006072m	chr1L		
gene22997	Xelaev18029444m	chr5S		
gene22998	Xelaev18025822m	chr4S		
gene22999	Xelaev18031118m	chr6L		
gene23000	Xelaev18033288m	chr6S		
gene23001	Xelaev18004592m	Scaffold8897		
gene23002	f2rl3.S	Scaffold21		
gene23003	LOC101732336.L	chr3L		
gene23004	Xelaev18039042m	chr8L		
gene23005	Xelaev18035970m	chr7L		
gene23006	Xetrov90003591m.1	Scaffold451		
gene23007	Xelaev18019529m	chr3L		
gene23008	ccl42c.S	chr2S		
gene23009	Xelaev18026687m	chr5L		
gene23010	Xelaev18000619m	Scaffold19		
gene23011	Xelaev18031561m	chr6L		
gene23012	LOC100485829.S	chr1S		
gene23013	Xelaev18005189m	chr1L		
gene23014	Xelaev18007648m	chr1L		
gene23015	Xelaev18024705m	chr4S		
gene23016	Xelaev18040080m	chr8L		
gene23017	Xelaev18037262m	chr7S		
gene23018	Xelaev18040806m	chr8L		
gene23019	Xelaev18033742m	chr6S		
gene23020	Xelaev18000374m	Scaffold149		
gene23021	Xelaev18015603m	chr2S		
gene23022	Xelaev18027067m	chr5L		
gene23023	Xelaev18042152m	chr8S		
gene23024	Xelaev18003988m	Scaffold65		
gene23025	c16orf45.L	chr9_10L		
gene23026	Xelaev18039587m	chr8L		
gene23027	Xelaev18038964m	chr8L		
gene23028	srek1ip1.L	chr1L		
gene23029	Xelaev18004109m	Scaffold69		
gene23030	Xelaev18020322m	chr3S		
gene23031	Xelaev18009218m	chr1S		
gene23032	Xelaev18041995m	chr8S		
gene23033	Xelaev18021298m	chr3S		
gene23034	Xelaev18042976m	chr8S		
gene23035	Xelaev18030655m	chr6L		
gene23036	Xelaev18015787m	chr2S		
gene23037	gmpr2.L	chr1L		
gene23038	Xelaev18000976m	Scaffold20		
gene23039	Xelaev18008509m	chr1L		
gene23040	Xetrov90017250m.L	chr6L		
gene23041	Xelaev18001755m	Scaffold23466		
gene23042	Xelaev18026059m	chr5L		
gene23043	Xelaev18009284m	chr1S		
gene23044	Xelaev18020641m	chr3S		
gene23045	Xelaev18036964m	chr7S		
gene23046	Xelaev18008222m	chr1L		
gene23047	Xelaev18003997m	Scaffold65		
gene23048	Xelaev18023750m	chr4L		
gene23049	Xelaev18004678m	Scaffold94		
gene23050	LOC100485017.S	chr8S		
gene23051	Xelaev18007204m	chr1L		
gene23052	Xelaev18022108m	chr4L		
gene23053	Xelaev18002814m	Scaffold36		
gene23054	pde7b.L	chr5L		
gene23055	Xelaev18026893m	chr5L		
gene23056	Xelaev18020284m	chr3S		
gene23057	Xetrov90002054m.L	chr1L		
gene23058	Xelaev18025220m	chr4S		
gene23059	Xelaev18030735m	chr6L		
gene23060	Xelaev18036801m	chr7S		
gene23061	Xelaev18000216m	Scaffold123		
gene23062	Xelaev18044158m	chr9_10L		
gene23063	Xelaev18002064m	Scaffold27		
gene23064	Xelaev18021166m	chr3S		
gene23065	LOC100137672.S	chr4S		
gene23066	Xelaev18041121m	chr8S		
gene23067	hcn1.S	chr1S		
gene23068	Xelaev18034733m	chr7L		
gene23069	Xelaev18029953m	chr5S		
gene23070	Xelaev18031708m	chr6L		
gene23071	Xelaev18026284m	chr5L		
gene23072	Xelaev18018510m	chr3L		
gene23073	LOC101733530.L	Scaffold22		
gene23074	Xelaev18012566m	chr2L		
gene23075	Xelaev18027082m	chr5L		
gene23076	Xelaev18000109m	Scaffold110		
gene23077	Xelaev18009846m	chr1S		
gene23078	Xelaev18033760m	chr6S		
gene23079	Xelaev18046958m	chr9_10S		
gene23080	Xelaev18036010m	chr7L		
gene23081	Xelaev18025095m	chr4S		
gene23082	Xelaev18037528m	chr7S		
gene23083	Xetrov90004258m.L	chr2L		
gene23084	Xelaev18000553m	Scaffold19		
gene23085	Xelaev18031156m	chr6L		
gene23086	Xelaev18043470m	chr9_10L		
gene23087	Xelaev18005110m	chr1L		
gene23088	Xelaev18039509m	chr8L		
gene23089	Xelaev18023047m	chr4L		
gene23090	Xelaev18007154m	chr1L		
gene23091	Xelaev18003157m	Scaffold42		
gene23092	LOC101734741.S	chr5S		
gene23093	Xelaev18000701m	Scaffold19590		
gene23094	pth.L	chr4L		
gene23095	gpr139.L	chr9_10L		
gene23096	Xelaev18022070m	chr4L		
gene23097	c5orf48.L	chr1L		
gene23098	Xelaev18008908m	chr1S		
gene23099	LOC100498566.S	chr1S		
gene23100	Xetrov90028858m.S	chr5S		
gene23101	LOC101732168.S	chr9_10S		
gene23102	Xelaev18024299m	chr4S		
gene23103	Xelaev18003181m	Scaffold42		
gene23104	Xelaev18045132m	chr9_10L		
gene23105	adgrg1.S	chr4S		
gene23106	Xelaev18045480m	chr9_10L		
gene23107	Xelaev18037213m	chr7S		
gene23108	Xelaev18040162m	chr8L		
gene23109	Xelaev18004515m	Scaffold85		
gene23110	LOC101730464.L	chr2L		
gene23111	Xetrov90028334m.L	chr5L		
gene23112	Xelaev18036587m	chr7L		
gene23113	lilra4.S	chr7S		
gene23114	Xelaev18020474m	chr3S		
gene23115	Xelaev18047540m	chr9_10S		
gene23116	Xelaev18015717m	chr2S		
gene23117	Xetrov90010784m.L	chr4L		
gene23118	Xelaev18044121m	chr9_10L		
gene23119	Xelaev18023983m	chr4L		
gene23120	meis1.S	chr5S		
gene23121	Xelaev18005990m	chr1L		
gene23122	Xelaev18031874m	chr6L		
gene23123	Xelaev18027019m	chr5L		
gene23124	Xelaev18012280m	chr2L		
gene23125	Xelaev18015833m	chr2S		
gene23126	agbl4.L	chr4L		
gene23127	Xelaev18004375m	Scaffold782		
gene23128	Xelaev18029982m	chr5S		
gene23129	Xelaev18010791m	chr1S		
gene23130	Xelaev18030205m	chr5S		
gene23131	Xelaev18004526m	Scaffold8543		
gene23132	Xelaev18035778m	chr7L		
gene23133	Xelaev18001465m	Scaffold22		
gene23134	Xelaev18036921m	chr7S		
gene23135	Xelaev18004174m	Scaffold7115		
gene23136	Xelaev18029386m	chr5S		
gene23137	Xelaev18018609m	chr3L		
gene23138	Xelaev18001285m	Scaffold22		
gene23139	Xelaev18014929m	chr2S		
gene23140	Xelaev18028855m	chr5S		
gene23141	Xelaev18002843m	Scaffold36		
gene23142	Xelaev18041234m	chr8S		
gene23143	Xelaev18010949m	chr1S		
gene23144	Xelaev18017777m	chr3L		
gene23145	nfix.L	chr3L		
gene23146	vma21.S	chr8S		
gene23147	Xelaev18011105m	chr1S		
gene23148	Xelaev18025342m	chr4S		
gene23149	Xetrov90012811m.L	chr4L		
gene23150	Xelaev18010500m	chr1S		
gene23151	Xelaev18027775m	chr5L		
gene23152	Xelaev18008340m	chr1L		
gene23153	Xelaev18021077m	chr3S		
gene23154	Xelaev18016449m	chr2S		
gene23155	Xelaev18033080m	chr6S		
gene23156	Xelaev18037074m	chr7S		
gene23157	Xelaev18000095m	Scaffold10822		
gene23158	Xetrov90016307m.L	chr8L		
gene23159	Xelaev18005416m	chr1L		
gene23160	bre.S	chr5S		
gene23161	Xetrov90028807m.S	chr5S		
gene23162	Xelaev18029668m	chr5S		
gene23163	Xelaev18006708m	chr1L		
gene23164	LOC101732334	Scaffold29		
gene23165	Xetrov90029776m.1	Scaffold4138		
gene23166	Xelaev18009372m	chr1S		
gene23167	Xelaev18000048m	Scaffold105		
gene23168	Xetrov90021350m.L	chr8L		
gene23169	Xelaev18029680m	chr5S		
gene23170	Xelaev18045155m	chr9_10L		
gene23171	Xelaev18009110m	chr1S		
gene23172	Xelaev18015019m	chr2S		
gene23173	Xelaev18019437m	chr3L		
gene23174	Xelaev18003620m	Scaffold52		
gene23175	LOC101730276.L	chr7L		
gene23176	Xetrov90001896m.L	chr1L		
gene23177	Xelaev18002906m	Scaffold37012		
gene23178	Xelaev18043732m	chr9_10L		
gene23179	Xelaev18028220m	chr5L		
gene23180	Xelaev18035025m	chr7L		
gene23181	Xelaev18018965m	chr3L		
gene23182	Xelaev18042161m	chr8S		
gene23183	Xetrov90030605m.1	Scaffold92		
gene23184	Xelaev18034027m	chr6S		
gene23185	Xelaev18003252m	Scaffold44		
gene23186	Xelaev18010541m	chr1S		
gene23187	Xelaev18028165m	chr5L		
gene23188	Xelaev18045496m	chr9_10L		
gene23189	Xelaev18037188m	chr7S		
gene23190	Xetrov90015893m.L	chr6L		
gene23191	Xelaev18036039m	chr7L		
gene23192	Xetrov90018014m.S	chr7S		
gene23193	Xelaev18004419m	Scaffold80		
gene23194	Xelaev18005856m	chr1L		
gene23195	Xelaev18038449m	chr8L		
gene23196	gbf1-like.S	chr7S		
gene23197	Xelaev18002490m	Scaffold31		
gene23198	Xelaev18041824m	chr8S		
gene23199	Xelaev18021862m	chr4L		
gene23200	Xelaev18009254m	chr1S		
gene23201	Xetrov90005247m.L	chr2L		
gene23202	Xelaev18013210m	chr2L		
gene23203	Xelaev18005667m	chr1L		
gene23204	Xelaev18001052m	Scaffold20		
gene23205	Xelaev18002692m	Scaffold34		
gene23206	Xelaev18018214m	chr3L		
gene23207	Xelaev18037959m	chr7S		
gene23208	Xelaev18013005m	chr2L		
gene23209	Xelaev18022100m	chr4L		
gene23210	LOC101735296.L	chr5L		
gene23211	Xetrov90027439m.L	chr9_10L		
gene23212	Xelaev18006370m	chr1L		
gene23213	LOC105947339.L	chr5L		
gene23214	Xelaev18027630m	chr5L		
gene23215	Xetrov90007416m.S	chr3S		
gene23216	Xelaev18028752m	chr5S		
gene23217	Xelaev18045187m	chr9_10L		
gene23218	Xelaev18029830m	chr5S		
gene23219	unnamed.S	chr8S		
gene23220	Xelaev18044839m	chr9_10L		
gene23221	Xelaev18020031m	chr3S		
gene23222	Xelaev18032572m	chr6L		
gene23223	Xelaev18023794m	chr4L		
gene23224	LOC101731502.L	Scaffold41		
gene23225	Xelaev18001552m	Scaffold22		
gene23226	Xelaev18009387m	chr1S		
gene23227	Xelaev18014969m	chr2S		
gene23228	Xelaev18002959m	Scaffold38		
gene23229	Xelaev18014006m	chr2L		
gene23230	Xelaev18036995m	chr7S		
gene23231	Xelaev18019405m	chr3L		
gene23232	Xelaev18030265m	chr5S		
gene23233	Xelaev18039740m	chr8L		
gene23234	Xelaev18029780m	chr5S		
gene23235	Xelaev18046400m	chr9_10S		
gene23236	Xelaev18036430m	chr7L		
gene23237	Xelaev18018724m	chr3L		
gene23238	Xelaev18016883m	chr3L		
gene23239	Xelaev18011583m	chr2L		
gene23240	Xelaev18045718m	chr9_10L		
gene23241	Xelaev18043413m	chr9_10L		
gene23242	Xelaev18036768m	chr7S		
gene23243	Xelaev18011348m	chr2L		
gene23244	Xelaev18009498m	chr1S		
gene23245	Xelaev18029029m	chr5S		
gene23246	Xelaev18034859m	chr7L		
gene23247	Xetrov90010248m.S	chr2S		
gene23248	adh1c.L	chr1L		
gene23249	Xelaev18013933m	chr2L		
gene23250	Xetrov90019643m.L	chr7L		
gene23251	Xelaev18023967m	chr4L		
gene23252	Xelaev18019120m	chr3L		
gene23253	Xelaev18022667m	chr4L		
gene23254	Xelaev18014809m	chr2S		
gene23255	Xelaev18013250m	chr2L		
gene23256	Xelaev18008483m	chr1L		
gene23257	Xelaev18007700m	chr1L		
gene23258	Xelaev18000937m	Scaffold20		
gene23259	Xelaev18026857m	chr5L		
gene23260	LOC100489228.1.L	Scaffold107		
gene23261	Xelaev18046504m	chr9_10S		
gene23262	Xelaev18034287m	chr7L		
gene23263	Xelaev18027922m	chr5L		
gene23264	Xelaev18005562m	chr1L		
gene23265	Xelaev18017761m	chr3L		
gene23266	Xelaev18000851m	Scaffold20		
gene23267	Xelaev18019764m	chr3S		
gene23268	Xelaev18001935m	Scaffold25		
gene23269	Xelaev18020790m	chr3S		
gene23270	Xelaev18013302m	chr2L		
gene23271	Xelaev18009584m	chr1S		
gene23272	LOC105946180.S	chr8S		
gene23273	Xelaev18010110m	chr1S		
gene23274	Xelaev18020717m	chr3S		
gene23275	ccdc83.L	chr2L		
gene23276	Xelaev18006042m	chr1L		
gene23277	Xetrov90000032m.L	Scaffold31		
gene23278	Xelaev18000889m	Scaffold20		
gene23279	Xelaev18047676m	chr9_10S		
gene23280	Xelaev18011142m	chr1S		
gene23281	Xelaev18000037m	Scaffold104		
gene23282	Xelaev18006908m	chr1L		
gene23283	Xelaev18036385m	chr7L		
gene23284	Xelaev18046170m	chr9_10S		
gene23285	Xelaev18034067m	chr6S		
gene23286	Xelaev18042110m	chr8S		
gene23287	LOC100497489.S	chr8S		
gene23288	Xelaev18007095m	chr1L		
gene23289	Xelaev18002098m	Scaffold272		
gene23290	Xelaev18017195m	chr3L		
gene23291	Xelaev18021496m	chr3S		
gene23292	Xelaev18041278m	chr8S		
gene23293	Xelaev18021201m	chr3S		
gene23294	Xelaev18002073m	Scaffold27		
gene23295	Xelaev18027833m	chr5L		
gene23296	Xelaev18008099m	chr1L		
gene23297	Xelaev18004141m	Scaffold70606		
gene23298	Xelaev18008846m	chr1S		
gene23299	Xelaev18037207m	chr7S		
gene23300	Xelaev18042232m	chr8S		
gene23301	zbed1.L	chr2L		
gene23302	Xelaev18043001m	chr8S		
gene23303	Xelaev18009570m	chr1S		
gene23304	dct.S	chr2S		
gene23305	Xelaev18041604m	chr8S		
gene23306	Xelaev18002727m	Scaffold348		
gene23307	helz2.L	chr9_10L		
gene23308	Xelaev18007444m	chr1L		
gene23309	Xelaev18017243m	chr3L		
gene23310	Xelaev18014978m	chr2S		
gene23311	Xetrov90030640m.L	chr7L		
gene23312	Xelaev18027413m	chr5L		
gene23313	Xelaev18033409m	chr6S		
gene23314	Xelaev18003658m	Scaffold533		
gene23315	Xelaev18045787m	chr9_10L		
gene23316	Xelaev18029160m	chr5S		
gene23317	gmpr.S	chr6S		
gene23318	Xelaev18007896m	chr1L		
gene23319	Xelaev18004625m	Scaffold9189		
gene23320	Xelaev18007520m	chr1L		
gene23321	Xelaev18000456m	Scaffold16923		
gene23322	Xelaev18046759m	chr9_10S		
gene23323	Xelaev18006004m	chr1L		
gene23324	Xelaev18028351m	chr5L		
gene23325	Xelaev18024152m	chr4L		
gene23326	Xelaev18004208m	Scaffold729		
gene23327	Xelaev18027455m	chr5L		
gene23328	Xelaev18007109m	chr1L		
gene23329	Xelaev18016660m	chr3L		
gene23330	Xelaev18021884m	chr4L		
gene23331	Xelaev18034076m	chr6S		
gene23332	Xelaev18010503m	chr1S		
gene23333	unc13c.S	chr3S		
gene23334	Xelaev18018961m	chr3L		
gene23335	Xelaev18014356m	chr2S		
gene23336	Xelaev18014915m	chr2S		
gene23337	Xelaev18021802m	chr4L		
gene23338	Xelaev18003691m	Scaffold54		
gene23339	Xelaev18001167m	Scaffold21		
gene23340	Xelaev18042148m	chr8S		
gene23341	Xelaev18030574m	chr6L		
gene23342	LOC101733225.1.L	Scaffold88		
gene23343	Xelaev18046453m	chr9_10S		
gene23344	Xelaev18040871m	chr8L		
gene23345	Xelaev18011594m	chr2L		
gene23346	Xelaev18004537m	Scaffold86989		
gene23347	Xelaev18033675m	chr6S		
gene23348	Xelaev18031431m	chr6L		
gene23349	Xelaev18007944m	chr1L		
gene23350	Xelaev18005125m	chr1L		
gene23351	Xelaev18028257m	chr5L		
gene23352	Xelaev18044786m	chr9_10L		
gene23353	Xelaev18040408m	chr8L		
gene23354	Xelaev18032611m	chr6S		
gene23355	Xelaev18027715m	chr5L		
gene23356	Xelaev18006366m	chr1L		
gene23357	Xelaev18017183m	chr3L		
gene23358	Xelaev18037801m	chr7S		
gene23359	Xelaev18033360m	chr6S		
gene23360	gatc-like.S	chr1S		
gene23361	Xelaev18042887m	chr8S		
gene23362	Xelaev18032724m	chr6S		
gene23363	Xelaev18017716m	chr3L		
gene23364	Xelaev18020478m	chr3S		
gene23365	Xelaev18029211m	chr5S		
gene23366	Xelaev18008579m	chr1L		
gene23367	Xelaev18004000m	Scaffold65113		
gene23368	Xelaev18000820m	Scaffold20		
gene23369	Xetrov90012860m.L	chr4L		
gene23370	Xelaev18017910m	chr3L		
gene23371	Xelaev18004488m	Scaffold8274		
gene23372	LOC100490738.S	Scaffold20		
gene23373	Xelaev18004659m	Scaffold93		
gene23374	Xelaev18015224m	chr2S		
gene23375	Xelaev18030164m	chr5S		
gene23376	Xelaev18003744m	Scaffold5603		
gene23377	LOC101732299.L	chr5L		
gene23378	fam26f.S	chr5S		
gene23379	Xelaev18038766m	chr8L		
gene23380	LOC101731055.1	Scaffold22737		
gene23381	Xetrov90002349m.L	chr1L		
gene23382	Xelaev18022728m	chr4L		
gene23383	Xelaev18005029m	chr1L		
gene23384	Xelaev18037198m	chr7S		
gene23385	Xelaev18026067m	chr5L		
gene23386	Xelaev18034992m	chr7L		
gene23387	Xelaev18002457m	Scaffold31		
gene23388	Xelaev18004959m	chr1L		
gene23389	Xelaev18016049m	chr2S		
gene23390	Xelaev18035233m	chr7L		
gene23391	Xelaev18046768m	chr9_10S		
gene23392	Xelaev18003419m	Scaffold47		
gene23393	Xelaev18040296m	chr8L		
gene23394	Xelaev18000588m	Scaffold19		
gene23395	Xelaev18002335m	Scaffold29		
gene23396	Xelaev18045143m	chr9_10L		
gene23397	Xelaev18026975m	chr5L		
gene23398	Xelaev18022615m	chr4L		
gene23399	Xetrov90013533m.L	chr5L		
gene23400	Xelaev18002104m	Scaffold2741		
gene23401	Xelaev18044556m	chr9_10L		
gene23402	Xelaev18027629m	chr5L		
gene23403	Xelaev18024718m	chr4S		
gene23404	Xelaev18001796m	Scaffold24		
gene23405	Xelaev18046450m	chr9_10S		
gene23406	Xelaev18028988m	chr5S		
gene23407	Xelaev18001786m	Scaffold24		
gene23408	Xelaev18008899m	chr1S		
gene23409	Xelaev18040636m	chr8L		
gene23410	Xelaev18015334m	chr2S		
gene23411	Xelaev18021800m	chr4L		
gene23412	Xelaev18015800m	chr2S		
gene23413	Xelaev18036645m	chr7S		
gene23414	Xelaev18019158m	chr3L		
gene23415	Xetrov90028485m.L	chr8L		
gene23416	Xelaev18036777m	chr7S		
gene23417	Xelaev18001978m	Scaffold26		
gene23418	dixdc1.S	Scaffold134		
gene23419	prkce.S	chr5S		
gene23420	Xelaev18004546m	Scaffold87		
gene23421	Xelaev18009348m	chr1S		
gene23422	Xelaev18005646m	chr1L		
gene23423	Xelaev18034306m	chr7L		
gene23424	Xelaev18015485m	chr2S		
gene23425	Xelaev18003712m	Scaffold5422		
gene23426	Xelaev18008795m	chr1S		
gene23427	Xelaev18041989m	chr8S		
gene23428	Xelaev18045666m	chr9_10L		
gene23429	Xelaev18002393m	Scaffold29752		
gene23430	Xelaev18045739m	chr9_10L		
gene23431	Xelaev18013816m	chr2L		
gene23432	LOC100492080.1	Scaffold46560		
gene23433	Xelaev18010666m	chr1S		
gene23434	Xetrov90017500m.S	chr7S		
gene23435	Xetrov90005203m.L	chr2L		
gene23436	Xelaev18047502m	chr9_10S		
gene23437	Xetrov90011648m.L	chr4L		
gene23438	LOC101733484.L	chr5L		
gene23439	Xelaev18010377m	chr1S		
gene23440	loc100491461.S	chr9_10S		
gene23441	Xelaev18019427m	chr3L		
gene23442	Xelaev18046994m	chr9_10S		
gene23443	Xelaev18043687m	chr9_10L		
gene23444	Xelaev18000375m	Scaffold1493		
gene23445	Xelaev18000722m	Scaffold19945		
gene23446	Xelaev18019742m	chr3S		
gene23447	Xetrov90024449m.S	chr9_10S		
gene23448	Xetrov90015514m.L	chr6L		
gene23449	Xelaev18007133m	chr1L		
gene23450	Xelaev18037457m	chr7S		
gene23451	Xelaev18003057m	Scaffold40024		
gene23452	Xelaev18031749m	chr6L		
gene23453	Xelaev18023483m	chr4L		
gene23454	Xetrov90000095m.L	Scaffold47		
gene23455	Xelaev18034438m	chr7L		
gene23456	Xelaev18009810m	chr1S		
gene23457	Xelaev18010490m	chr1S		
gene23458	Xelaev18045814m	chr9_10L		
gene23459	Xelaev18014678m	chr2S		
gene23460	Xelaev18013915m	chr2L		
gene23461	Xelaev18027013m	chr5L		
gene23462	LOC100495973.S	chr6S		
gene23463	Xelaev18029128m	chr5S		
gene23464	Xelaev18044711m	chr9_10L		
gene23465	Xetrov90025254m.L	chr3L		
gene23466	Xelaev18047544m	chr9_10S		
gene23467	Xelaev18020008m	chr3S		
gene23468	Xelaev18040108m	chr8L		
gene23469	Xetrov90001268m.1	Scaffold115		
gene23470	Xelaev18004993m	chr1L		
gene23471	Xelaev18041641m	chr8S		
gene23472	Xelaev18047377m	chr9_10S		
gene23473	Xelaev18000521m	Scaffold18788		
gene23474	Xetrov90029771m.S	chr3S		
gene23475	Xelaev18022735m	chr4L		
gene23476	Xelaev18046691m	chr9_10S		
gene23477	Xelaev18046589m	chr9_10S		
gene23478	col6a6.L	chr6L		
gene23479	Xelaev18033651m	chr6S		
gene23480	Xelaev18024687m	chr4S		
gene23481	LOC100496797-like.L	chr9_10L		
gene23482	Xelaev18030037m	chr5S		
gene23483	Xelaev18034063m	chr6S		
gene23484	Xelaev18004202m	Scaffold72304		
gene23485	Xetrov90009687m.L	chr7L		
gene23486	Xetrov90021640m.L	chr8L		
gene23487	Xelaev18027349m	chr5L		
gene23488	Xelaev18035104m	chr7L		
gene23489	Xelaev18000441m	Scaffold166		
gene23490	Xelaev18030196m	chr5S		
gene23491	selp.L	chr4L		
gene23492	Xelaev18041960m	chr8S		
gene23493	Xelaev18016638m	chr3L		
gene23494	Xelaev18024393m	chr4S		
gene23495	Xetrov90015378m.S	chr1S		
gene23496	Xelaev18013458m	chr2L		
gene23497	Xelaev18007200m	chr1L		
gene23498	Xelaev18016782m	chr3L		
gene23499	Xelaev18031425m	chr6L		
gene23500	Xetrov90020448m.S	chr8S		
gene23501	Xelaev18019774m	chr3S		
gene23502	Xelaev18041932m	chr8S		
gene23503	Xelaev18029503m	chr5S		
gene23504	Xelaev18006696m	chr1L		
gene23505	Xelaev18019614m	chr3L		
gene23506	Xelaev18007987m	chr1L		
gene23507	LOC101734593.L	chr7L		
gene23508	Xelaev18006371m	chr1L		
gene23509	Xelaev18047200m	chr9_10S		
gene23510	Xelaev18000501m	Scaffold183		
gene23511	Xelaev18000160m	Scaffold11438		
gene23512	LOC100495347.1	Scaffold4507		
gene23513	Xelaev18018193m	chr3L		
gene23514	Xelaev18005886m	chr1L		
gene23515	tmem74b.S	chr9_10S		
gene23516	Xelaev18003422m	Scaffold472		
gene23517	Xelaev18005943m	chr1L		
gene23518	Xelaev18003283m	Scaffold44106		
gene23519	Xelaev18039808m	chr8L		
gene23520	Xetrov90009148m.L	chr3L		
gene23521	Xelaev18034753m	chr7L		
gene23522	Xelaev18001777m	Scaffold24		
gene23523	Xelaev18004012m	Scaffold66		
gene23524	Xelaev18038684m	chr8L		
gene23525	Xelaev18019572m	chr3L		
gene23526	Xelaev18020666m	chr3S		
gene23527	Xelaev18027092m	chr5L		
gene23528	Xelaev18036730m	chr7S		
gene23529	Xelaev18029325m	chr5S		
gene23530	Xelaev18039580m	chr8L		
gene23531	Xelaev18032424m	chr6L		
gene23532	Xelaev18038651m	chr8L		
gene23533	Xelaev18038457m	chr8L		
gene23534	Xetrov90006958m.S	chr8S		
gene23535	Xelaev18006996m	chr1L		
gene23536	Xelaev18040610m	chr8L		
gene23537	Xelaev18037920m	chr7S		
gene23538	znf33b.S	chr6S		
gene23539	Xelaev18042014m	chr8S		
gene23540	Xelaev18015946m	chr2S		
gene23541	Xelaev18014679m	chr2S		
gene23542	Xelaev18016104m	chr2S		
gene23543	Xelaev18027161m	chr5L		
gene23544	Xelaev18002222m	Scaffold29		
gene23545	Xelaev18003066m	Scaffold4074		
gene23546	Xelaev18040144m	chr8L		
gene23547	myzap.S	chr3S		
gene23548	Xelaev18044463m	chr9_10L		
gene23549	Xelaev18002380m	Scaffold290		
gene23550	Xelaev18025759m	chr4S		
gene23551	Xelaev18010683m	chr1S		
gene23552	Xelaev18024767m	chr4S		
gene23553	Xelaev18006457m	chr1L		
gene23554	Xetrov90004771m.S	chr2S		
gene23555	Xelaev18037062m	chr7S		
gene23556	Xelaev18031731m	chr6L		
gene23557	Xelaev18026965m	chr5L		
gene23558	LOC100495966	Scaffold148		
gene23559	pyurf.S	chr1S		
gene23560	Xelaev18002909m	Scaffold37090		
gene23561	Xelaev18030580m	chr6L		
gene23562	Xelaev18028736m	chr5S		
gene23563	Xelaev18027791m	chr5L		
gene23564	Xelaev18004675m	Scaffold94		
gene23565	Xelaev18021148m	chr3S		
gene23566	LOC101733888.L	Scaffold38		
gene23567	Xelaev18040986m	chr8S		
gene23568	Xelaev18011295m	chr2L		
gene23569	Xelaev18023107m	chr4L		
gene23570	Xelaev18017792m	chr3L		
gene23571	LOC101730314.L	chr8L		
gene23572	abcg4.S	Scaffold106		
gene23573	Xelaev18003738m	Scaffold5584		
gene23574	Xetrov90022700m.L	Scaffold22		
gene23575	Xelaev18030650m	chr6L		
gene23576	Xelaev18010114m	chr1S		
gene23577	Xelaev18029363m	chr5S		
gene23578	il22ra2.S	chr5S		
gene23579	LOC101733276.L	chr9_10L		
gene23580	Xelaev18024606m	chr4S		
gene23581	Xelaev18019527m	chr3L		
gene23582	Xelaev18013020m	chr2L		
gene23583	Xelaev18040916m	chr8L		
gene23584	Xelaev18002093m	Scaffold27045		
gene23585	Xelaev18034390m	chr7L		
gene23586	Xelaev18013558m	chr2L		
gene23587	Xelaev18009465m	chr1S		
gene23588	Xelaev18005768m	chr1L		
gene23589	Xelaev18035432m	chr7L		
gene23590	Xelaev18015924m	chr2S		
gene23591	Xelaev18019876m	chr3S		
gene23592	Xelaev18010420m	chr1S		
gene23593	Xelaev18005106m	chr1L		
gene23594	ugt3a2.L	chr1L		
gene23595	Xelaev18047952m	chr9_10S		
gene23596	Xelaev18002541m	Scaffold31		
gene23597	Xelaev18016505m	chr2S		
gene23598	Xelaev18011034m	chr1S		
gene23599	Xelaev18007725m	chr1L		
gene23600	Xelaev18016335m	chr2S		
gene23601	Xelaev18031485m	chr6L		
gene23602	Xelaev18002546m	Scaffold31157		
gene23603	Xelaev18044944m	chr9_10L		
gene23604	Xelaev18003959m	Scaffold63		
gene23605	Xelaev18023098m	chr4L		
gene23606	Xelaev18030837m	chr6L		
gene23607	Xelaev18011395m	chr2L		
gene23608	Xelaev18006141m	chr1L		
gene23609	Xelaev18007194m	chr1L		
gene23610	Xelaev18046634m	chr9_10S		
gene23611	Xelaev18026854m	chr5L		
gene23612	Xelaev18035030m	chr7L		
gene23613	Xelaev18005045m	chr1L		
gene23614	LOC101733890.L	chr7L		
gene23615	Xelaev18008394m	chr1L		
gene23616	LOC100494592.L	Scaffold97		
gene23617	Xelaev18008943m	chr1S		
gene23618	LOC101734116.1.L	Scaffold47		
gene23619	Xelaev18002933m	Scaffold38		
gene23620	Xelaev18013855m	chr2L		
gene23621	Xelaev18002449m	Scaffold30815		
gene23622	Xelaev18024599m	chr4S		
gene23623	Xetrov90018092m.S	Scaffold19		
gene23624	Xetrov90009899m.S	Scaffold21		
gene23625	Xelaev18039367m	chr8L		
